,count,id,len,maior,menor,mean,median,predicted
0,1,0,10,2065156990,-1529863193,690018609,610386334,2
1,1,1,10,1226513149,-1592674611,-477670039,-359376359,2
2,1,3,10,1554002560,-1989278071,-644796414,-913200162,2
3,1,4,10,2062489434,-1962850697,338429051,642515494,2
4,1,5,10,2088556454,-1906097811,749191669,1232033287,2
5,1,6,10,1025655114,-1801625244,-205728891,-38247769,2
6,1,7,10,1603995085,-1875455044,-154366558,-215446529,2
7,1,8,10,2110934493,-1743848465,240196051,553714691,2
8,1,9,10,1071399486,-1922605705,-375885409,-156300010,2
9,1,10,10,1610371714,-1797272151,255599267,678583798,2
10,2,11,10,1686001966,-1513747039,617221615,868000940,2
11,2,13,10,2046575386,-2005645807,106528657,549234313,2
12,2,14,10,1929258243,-2065181165,-259697986,-548521108,2
13,2,15,10,2028675355,-1506204987,247172698,142106971,2
14,2,16,10,1521758323,-1976367714,-294947866,-255010213,2
15,2,17,10,1155294083,-1901765479,-336706325,-245556369,2
16,2,21,10,1705508146,-2072918549,-154438033,-272632534,2
17,2,22,10,2113388334,-1958979778,213585929,390703290,2
18,2,23,10,1439679883,-2041914204,-831265409,-1340078333,2
19,2,25,10,1445558263,-2114269599,-668201876,-1031101618,2
20,3,26,10,1857950564,-1863164958,-138722226,-208040199,2
21,3,27,10,2025478781,-1970530714,-154464264,-271034930,2
22,3,28,10,1722805282,-1508493425,160264758,183651154,2
23,3,29,10,1953649264,-1814899356,-174762834,-533784255,2
24,3,30,10,2034849400,-1458548255,74242108,181487572,2
25,3,33,10,1401823632,-1784226711,-359434585,-471470056,2
26,3,34,10,1864097369,-1850297339,22236735,-191477964,2
27,3,35,10,1968947278,-1214557428,136407852,-16974476,2
28,3,36,10,1563663112,-1532849894,533860998,855084966,2
29,3,37,10,1526283132,-1919120521,-393568038,-1023029969,2
30,4,38,10,1264016537,-2140041978,-116342482,3345559,2
31,4,41,10,2058333921,-1089375274,100910090,82265022,2
32,4,43,10,834772240,-2069829850,-171026282,218126404,2
33,4,44,10,1822745260,-1850527068,29045307,245523643,2
34,4,46,10,1628971397,-1530184606,96840453,-113542012,2
35,4,47,10,1977129521,-1662967320,-437445093,-1184312791,2
36,4,48,10,1626361565,-1898560773,9271508,38902020,2
37,4,49,10,1556478029,-1615650301,497863015,455072678,2
38,4,51,10,1811498338,-1616139362,362985179,776723837,2
39,4,52,10,1912941252,-2057798615,-171105374,41167781,2
40,5,53,10,2008811733,-936204379,35940919,-237546101,2
41,5,54,10,1946035255,-1451323438,-336924194,-710841174,2
42,5,55,10,1444989924,-2046092176,207993379,535740889,2
43,5,56,10,2101819669,-1964307750,224766750,364200033,2
44,5,57,10,2010553342,-1655201564,98632078,-11704736,2
45,5,58,10,2094077020,-1782405557,47463679,277121805,2
46,5,60,10,1494178767,-1887765141,152585975,47146180,2
47,5,61,10,1528683099,-967331968,791968081,751081890,2
48,5,62,10,2143779018,-2084781958,-174679421,-208512904,2
49,5,64,10,1895872883,-1483553619,-328848878,-659073674,2
50,6,65,10,1980428192,-1848841220,411706493,1018500513,2
51,6,66,10,1630615168,-2129637190,-232980420,-240924097,2
52,6,67,10,1961549732,-1810789401,-272343166,-437025445,2
53,6,69,10,2115291178,-2040133720,-158354831,-393662475,2
54,6,70,10,1622386774,-1843188653,205974339,703929801,2
55,6,71,10,1317527544,-2104351988,-353389366,-444087314,2
56,6,72,10,2120339469,-2144739026,152368840,427429759,2
57,6,74,10,959945608,-2046006939,-496663932,-565891911,2
58,6,75,10,1918309749,-1446675387,556964867,984084303,2
59,6,76,10,2143631958,-2030041658,-343076067,-683873122,2
60,7,77,10,1571122008,-1892267085,-426546969,-859104037,2
61,7,79,10,1691727340,-1675496261,-226484031,-393792277,2
62,7,80,10,1677250968,-1854656042,39252957,686251105,2
63,7,81,10,1873410558,-2013940136,-268187084,-326951677,2
64,7,82,10,1875198446,-1783112245,-400709717,-410042512,2
